Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чумак,Левко,Богданович,Чоловіча,1982-05-09,Сантехнік,Запоріжжя,"провулок Успенський, буд. 8, Южноукраїнськ, 27304",+380 23 690-13-38,xkyrylenko@example.org
Худобʼяк,Єлисей,Васильович,Чоловіча,1973-08-20,Фотограф,Молодогвардійськ,"провулок Дніпропетровська дорога, буд. 757, Бориспіль, 97007",+380 81 566-10-27,fareniukrozaliia@example.com
Овчаренко,Леон,Ігнатович,Чоловіча,2008-09-14,Археолог,Косів,"узвіз Державіна, буд. 1 кв. 134, Гребінка, 96723",+380 (17) 976-42-87,dan55@example.net
Христич,Надія,Васильівна,Жіноча,2003-04-06,Композитор,Горлівка,"проспект Макарова, буд. 84, Козятин, 77264",076 037 23 59,qpiatachenko@example.com
Вівчаренко,Віталій,Антонович,Чоловіча,1988-06-04,Будник,Кам'янка (Черкаська область),"шосе Новоберегова, буд. 765 кв. 06, Дружківка, 23900",+380 12 167-37-56,ckolisnychenko@example.com
Ємельяненко,Мирон,Хомович,Чоловіча,1993-12-15,Парфюмер,Луганськ,"узвіз Сєрогодського, буд. 331, Мар'їнка, 26605",231-53-21,arkadii83@example.com
Петренко,Марʼяна,Леонідівна,Жіноча,2004-03-15,Археолог,Бунге ,"узвіз 14-та Суворовська, буд. 9 кв. 7, Боково-Хрустальне, 93974",174-28-57,rbaturynets@example.com
Деряжний,Ростислав,Несторович,Чоловіча,2023-07-31,Конструктор,Красноперекопськ,"провулок Лінія 48-ма, буд. 78 кв. 8, Овруч, 89183",+380 00 889-41-57,parmenzabarna@example.com
Туркало,Оксана,Макарівна,Жіноча,2012-08-17,Фольклорист,Покровськ,"парк Тупиковий 1-й, буд. 143, Жидачів, 45467",+380 19 907-40-28,svitlanamykhailiuk@example.net
Аверченко,Адам,Охрімович,Чоловіча,1975-12-05,Інженер,Лисичанськ,"площа Майстерний, буд. 13 кв. 4, Біла Церква, 60435",+380 06 247-20-05,iefrem36@example.com
Башполченко,Веніямин,Богуславович,Чоловіча,2015-04-14,Водій,Андрушівка,"узвіз Жуковського, буд. 309, Запоріжжя, 60447",+380 (67) 203-99-63,skopenkovalentyn@example.com
Чередник,Маруся,Валеріївна,Жіноча,1983-01-12,Медик,Сокиряни,"провулок Івана Франка, буд. 556, Кременчук, 61949",+380 76 764 62 39,snizhana40@example.net
Дерегус,Євген,Веніяминович,Чоловіча,1996-12-10,Бухгалтер,Чигирин,"узвіз Проектований 3-й, буд. 620, Моршин, 26726",+380 40 977-12-79,sbabak@example.net
Зінчук,Роксолана,Георгіївна,Жіноча,1974-10-21,Промисловець,Ізяслав,"провулок Академіка Гаркавого, буд. 6, Петрово-Красносілля, 24625",060 360 50 78,iaremaasaula@example.net
Бандурка,Миколай,Прохорович,Чоловіча,1999-10-24,Хореограф,Коростень,"парк Академіка Корольова, буд. 847, Ворожба, 45534",+380 68 134-41-14,vlahoda@example.com
Макогон,Златослава,Артемівна,Жіноча,1973-02-10,Секретар,Жидачів,"вулиця Слов'янська, буд. 51 кв. 01, Любомль, 40870",794-37-50,nsheremeta@example.org
Шеремета,Роксолана,Микитівна,Жіноча,2020-11-04,Фотограф,Кобеляки,"сквер Ушинського, буд. 129 кв. 512, Буськ, 34580",138 37 08,gshvedchenko@example.net
Алексеєнко,Роман,Ігорович,Чоловіча,2023-07-20,Стропальник,Сокиряни,"парк Моторна, буд. 44, Новий Буг, 02098",086 245 43 59,petrenkookhrim@example.com
Макогон,Наталія,Валентинівна,Жіноча,2016-07-08,Геофізик,Вижниця,"сквер Травневий 1-й, буд. 30, Мар'їнка, 34036",+380 86 809-95-68,lhuz@example.org
Бандурка,Спас,Аврелійович,Чоловіча,2019-09-20,Круп'є,Сокиряни,"парк Зелений, буд. 615, Вільногірськ, 57274",055 98 34,hrechkoiefrem@example.com
Бездітко,Онисим,Аркадійович,Чоловіча,2022-10-17,Менеджер,Пологи ,"шосе Героїв Крут, буд. 34, Устилуг, 41458",+380 03 131-18-11,skorobohatkoanzhela@example.org
Щорс,Анжела,Микитівна,Жіноча,2005-06-27,Художник,Лебедин,"шосе Круговий, буд. 21 кв. 42, Старокостянтинів, 75797",141 93 08,rebrykdan@example.org
Павленко,Ігнат,Вʼячеславович,Чоловіча,2003-05-03,Паралегал,Кременчук,"сквер Тіниста, буд. 2 кв. 7, Нова Каховка, 50409",076 811 03 78,danylo81@example.com
Охріменко,Віолетта,Стефанівна,Жіноча,1997-03-08,Детектив,Роздільна,"сквер Композитора Глинки, буд. 3 кв. 92, Дубровиця, 48354",024 187 77 80,aleksiukihnat@example.org
Шиян,Віра,Алевтинівна,Жіноча,1971-09-28,Хореограф,Устилуг,"провулок Кондренка, буд. 177, Первомайськ, 37702",+380 (05) 383-79-05,onysym63@example.net
Баранець,Соломія,Степанівна,Жіноча,1983-06-17,Модель,Люботин,"площа Чернігівський, буд. 07 кв. 127, Українка , 66837",096 348-78-49,danna09@example.net
Притула,Альбіна,Юстимівна,Жіноча,2015-01-25,Кухар,Шостка,"проспект Краснослобідська, буд. 04 кв. 68, Червоноград, 69474",+380 79 896-24-64,solomon06@example.net
Єрошенко,Віолетта,Ярославівна,Жіноча,2018-07-25,Антрополог,Носівка,"сквер Овідіопольська дуга, буд. 94, Тетіїв, 71665",+380 76 916-27-50,khoma14@example.org
Прокопович,Єлисавета,Орестівна,Жіноча,1970-11-14,Прокурор,Таврійськ,"площа Махачкалинська, буд. 7, Христинівка, 44480",096 167-76-87,solomon82@example.org
Дуплій,Єва,Тимофіївна,Жіноча,2000-01-28,Головний меркшейдер,Кадіївка,"шосе Приморський, буд. 51 кв. 91, Семенівка, 53514",708-04-21,ksomko@example.net
Чайка,Ярослава,Захарівна,Жіноча,2012-07-08,Географ,Южноукраїнськ,"парк Академіка Глушка, буд. 7, Тростянець, 64644",+380 14 597-80-22,ftovstolis@example.org
Швайка,Віктор,Ярославович,Чоловіча,1998-03-31,Футболіст,Вилкове,"сквер Побратимів, буд. 72, Мелітополь, 38865",600 04 31,riaboshapkapanas@example.com
Слюсар,Ірина,Данівна,Жіноча,1977-08-15,Професор,Нова Одеса,"набережна Василя Симоненка, буд. 635 кв. 33, Бахчисарай, 56104",894-85-74,lhaidenko@example.com
Пелех,Пармен,Августинович,Чоловіча,1975-12-23,Маркетолог,Рогатин,"набережна Ткачова, буд. 0, Немирів, 10254",+380 87 363-01-76,stusheorhii@example.org
Лемешко,Ростислав,Яковович,Чоловіча,2020-06-21,Менеджер,Жашків,"набережна Таїрова, буд. 9, Васильків, 14636",007 565 22 00,oksana69@example.net
Стець,Михайло,Аркадійович,Чоловіча,1995-11-18,Електромонтер,Токмак,"проспект Ціолковського, буд. 5 кв. 141, Буча, 31914",091 358-73-99,orestlaba@example.org
Оліфіренко,Павло,Пилипович,Чоловіча,1979-09-17,Зоолог,Кремінна,"сквер Казанська, буд. 52, Могилів-Подільський, 17321",023 78 72,anastasiiaverkhola@example.net
Гунько,Богдан,Леонтійович,Чоловіча,2005-05-28,Золотар,Новий Буг,"узвіз Обільний 1-й, буд. 791 кв. 126, Карлівка, 46969",749 71 22,rudkosviatoslav@example.org
Франко,Валентин,Віталійович,Чоловіча,1982-10-15,Фольклорист,Жовті Води,"парк Амурський 2-й, буд. 2 кв. 52, Радехів, 48544",053 675-18-47,iukhymlysenko@example.org
Гайдабура,Марко,Євгенійович,Чоловіча,1988-08-23,Нотаріус,Генічеськ,"парк Естафетна, буд. 4 кв. 50, Косів, 93878",+380 97 658-35-68,gudovychenko@example.net
Дзюба,Орися,Демʼянівна,Жіноча,1972-05-14,Графік,Роздільна,"парк Амбулаторний 1-й, буд. 43 кв. 6, Волочиськ, 88396",056 820-14-22,khrystynabevz@example.net
Михалюк,Охрім,Ростиславович,Чоловіча,2004-03-06,Музикант,Чистякове,"сквер Нікітіна, буд. 575 кв. 301, Київ, 96351",+380 04 350 25 65,fiesypenko@example.com
Ярема,Антон,Симонович,Чоловіча,2023-06-20,Дипломат,Тиврів,"провулок Володі Дубініна, буд. 65 кв. 4, Кремінна, 15922",+380 44 928-49-06,serhii76@example.com
Ющенко,Гордій,Владиславович,Чоловіча,1989-01-29,Шериф,Валки ,"вулиця Овідіопольська, буд. 48, Очаків, 32160",+380 50 805 19 36,skorykvarvara@example.org
Москаль,Орина,Мирославівна,Жіноча,1991-04-24,Гірник,Рожище,"провулок Слави, буд. 687, Новоукраїнка, 31909",084 231-35-59,bartymyshyna@example.org
Нестеренко,Ярина,Костянтинівна,Жіноча,1971-02-01,Фотограф,Шаргород,"площа Хімічний 3-й, буд. 3, Кам'янка-Бузька, 79843",006 728-29-12,vzaiets@example.com
Сиротенко,Давид,Азарович,Чоловіча,2015-03-12,Гірничий інженер,Ямпіль,"узвіз Миколаївська дорога, буд. 969, Сновськ, 56612",+380 19 052-45-71,larysaprymachenko@example.net
Рудько,Валентина,Соломонівна,Жіноча,2001-03-26,Промисловець,Іршава,"вулиця Сашка Хорошенка, буд. 05, Знам'янка, 49289",772-26-01,okhrim75@example.net
Архимович,Мартин,Несторович,Чоловіча,2006-06-25,Маркетолог,Шепетівка,"провулок Інглезі, буд. 55, Дружба , 75890",754 86 15,galagansolomon@example.com
Москаль,Пилип,Владиславович,Чоловіча,2015-02-02,Археолог,Селидове,"парк 40-річчя оборони Одеси, буд. 611, Сокиряни, 07129",057 89 32,dannaavramchuk@example.org
Каденюк,Марко,Данилович,Чоловіча,2004-06-13,Агроном,Старобільськ,"шосе Восьмого березня 2-й, буд. 9, Донецьк, 27918",014 796 35 38,pvoblyi@example.com
Годунок,Ганна,Симонівна,Жіноча,1997-05-07,Професор,Чернігів,"шосе Юннатів 1-й, буд. 9 кв. 712, Баранівка, 75351",+380 (90) 127-42-33,haidabohdan@example.org
Піддубний,Гордій,Володимирович,Чоловіча,1987-08-13,Швачка,Гребінка,"набережна Аркадійська, буд. 274 кв. 4, Роздільна, 93784",+380 (74) 977-47-12,zaietshordii@example.net
Носенко,Едуард,Трохимович,Чоловіча,2019-01-18,Диригент,Тальне,"проспект Водопровідний 3-й, буд. 1, Теплодар, 34458",663 38 41,leopolddanko@example.net
Яковенко,Франц,Веніяминович,Чоловіча,1975-01-26,Різноробочий,Миколаїв,"проспект Левітана, буд. 3, Герца, 05071",096 165-98-75,boryslavaleksandrenko@example.com
Дейнеко,Ярема,Аврелійович,Чоловіча,2007-06-05,Пілот,Прип'ять ,"вулиця Селищний, буд. 757 кв. 93, Семенівка, 31591",564 25 02,mykytanosachenko@example.org
Короленко,Борис,Борисович,Чоловіча,2021-03-16,Співак,Дергачі,"вулиця Карантинний узвіз, буд. 19, Ромни, 19734",+380 14 960 41 26,frantsbabenko@example.net
Балабан,Степан,Михайлович,Чоловіча,2023-07-01,Музикант,Новий Буг,"сквер Волзький, буд. 352, Покров, 21331",550 28 51,zorian42@example.net
Корпанюк,Богдан,Вікторович,Чоловіча,2015-06-09,Реабілітолог,Збараж,"парк Уральська, буд. 8 кв. 241, Миронівка, 69963",+380 16 590-22-48,leon50@example.com
Скирда,Ігнат,Олегович,Чоловіча,1997-04-26,Ґрунтознавець,Ізяслав,"узвіз Дюківська, буд. 8, Деражня, 30194",+380 07 957-39-60,pushkarstepan@example.net
Черінько,Климент,Миколайович,Чоловіча,1971-08-22,Різноробочий,Балаклія,"парк 1-й Академічний тупик, буд. 72 кв. 8, Валки , 06437",005 44 82,pryimakalina@example.com
Акименко,Роксолана,Максимівна,Жіноча,1994-06-01,Композитор,Сулимівка (Слов'янськ),"проспект Старицького, буд. 4 кв. 99, Городок, 42599",+380 69 956-34-79,oatamaniuk@example.org
Павличенко,Сніжана,Святославівна,Жіноча,1985-12-21,Круп'є,Миргород,"сквер Дукова, буд. 993, Зіньків, 83289",461 87 81,nestaikodaryna@example.net
Баранець,Пармен,Борисович,Чоловіча,2016-01-02,Реставратор,Андрушівка,"шосе Залізничний 3-й, буд. 52 кв. 55, Старий Самбір, 02838",637 38 08,kpanchuk@example.com
Уманець,Владислав,Хомович,Чоловіча,1991-06-17,Ґрунтознавець,Яворів,"шосе Аеропортівський 5-й, буд. 166 кв. 321, Перещепине, 01416",975-05-28,baturynetsrozaliia@example.com
Дурдинець,Гордій,Тарасович,Чоловіча,2023-02-02,Клавішник,Бобринець,"набережна Пугачова, буд. 916, Скалат, 65775",061 115 93 81,hordii03@example.org
Охримович,Венедикт,Степанович,Чоловіча,1984-06-14,Кінокритик,Угнів,"проспект Бреуса, буд. 034, Миколаївка , 37321",474 51 26,kalchenkomyroslav@example.org
Свистун,Клавдія,Кирилівна,Жіноча,1975-03-02,Промисловець,Зимогір'я,"площа Аеропортівський 2-й, буд. 27 кв. 136, Івано-Франківськ, 55067",547-12-99,illiahavryliuk@example.com
Гунько,Одарка,Миронівна,Жіноча,2018-06-18,Епідеміолог,Коростишів,"вулиця Щоголєва, буд. 511 кв. 05, Снятин, 50747",019 268 43 91,wredko@example.com
Гавриленко,Захар,Амвросійович,Чоловіча,2010-02-20,Соціолог,Антрацит ,"проспект Північна, буд. 714, Судак , 39124",+380 24 245 05 65,iosypriabchenko@example.com
Дурдинець,Павло,Макарович,Чоловіча,2016-02-14,Електрослюсар,Ватутіне,"площа Лінія 55-та, буд. 76 кв. 155, Гайсин, 68341",+380 93 983-60-90,eshtepa@example.com
Євдокименко,Юхим,Орестович,Чоловіча,2007-06-11,Намотувальник,Ялта,"набережна Пугачова, буд. 4 кв. 0, Волочиськ, 86828",084 14 87,dakhnorostyslav@example.com
Перебийніс,Леонід,Олегович,Чоловіча,2009-11-18,Дизайнер,П'ятихатки,"набережна Лінія 53-тя, буд. 37 кв. 6, Калинівка , 06563",019 554 35 78,kzaporozhets@example.com
Данильчук,Ліза,Омелянівна,Жіноча,1973-04-02,Соціолог,Апостолове,"провулок Яблочкіної, буд. 356 кв. 18, Радивилів, 83827",+380 (22) 590-44-08,bohuslavturkalo@example.com
Колодуб,Еріка,Геннадіївна,Жіноча,2003-03-22,Психолог,Чоп,"площа Олександрівський, буд. 757, Устилуг, 11893",055 623 69 05,oryna20@example.org
Асаула,Станіслав,Венедиктович,Чоловіча,1982-09-20,Гірник,Прилуки,"шосе Бузковий, буд. 191, Рава-Руська, 64819",079 278-47-06,karmaliukanzhela@example.org
Демʼянюк,Аніта,Охрімівна,Жіноча,2020-08-08,Мікробіолог,Полонне,"узвіз Косовська, буд. 98 кв. 332, Кіцмань, 88931",+380 75 958-53-34,karmaliukartem@example.org
Засядько,Орхип,Віталійович,Чоловіча,1987-09-13,Бухгалтер,Армянськ,"сквер Ярморочна площа, буд. 291 кв. 6, Тячів, 46245",512 46 46,davydarkhymovych@example.com
Ґоляш,Орина,Юстимівна,Жіноча,1997-09-16,Парфюмер,Старокостянтинів,"сквер Дворянська, буд. 70, Валки , 29946",+380 (06) 707-81-34,dankobohdanna@example.com
Власюк,Олег,Антонович,Чоловіча,2016-09-22,Астроном,Носівка,"провулок Вчительська, буд. 64, Нова Одеса, 62282",039 525-52-61,nvasylechko@example.net
Опанасенко,Марія,Амвросійовна,Жіноча,2006-09-06,Швачка,Яготин,"проспект Восьмого березня 8-й, буд. 618 кв. 5, Яремче, 98188",+380 (43) 004-22-39,pderhach@example.net
Христич,Олена,Марківна,Жіноча,2018-10-28,Художник,Тетіїв,"сквер Цебриківська, буд. 6, Географія Вільнянська, 49838",325-12-95,herman04@example.com
Коваленко,Станіслав,Валентинович,Чоловіча,1996-03-27,Музикант,Перечин,"парк Лиманчик 2-й Лінія 4-та, буд. 126 кв. 00, Новгород-Сіверський, 29018",+380 57 488-92-85,lizaderhach@example.net
Фартушняк,Павло,Тарасович,Чоловіча,2019-06-17,Ювелір,Шахтарськ,"площа Мельницька, буд. 2, Часів Яр, 71770",037 852-96-01,svitlanavlasenko@example.net
Дзиндра,Ярослав,Васильович,Чоловіча,2007-09-09,Соціолог,Мар'їнка,"провулок Політкаторжан, буд. 1 кв. 0, Балаклія, 09731",023 307 77 68,datsiukboleslav@example.org
Носаченко,Вікторія,Станіславівна,Жіноча,2019-09-25,Драматург,Миронівка,"сквер Базарна, буд. 6 кв. 999, Залізне, 04659",+380 (42) 275-15-39,larysaiurchuk@example.com
Калениченко,Леонтій,Русланович,Чоловіча,2019-06-11,Кінорежисер,Богуслав,"площа Дельфін, буд. 789 кв. 51, Вознесенськ, 69432",037 175 89 65,martariabchenko@example.org
Чекалюк,Дарина,Леопольдівна,Жіноча,1970-08-31,Агроном,Свалява,"парк Амбулаторний 2-й, буд. 17, Вільногірськ, 10320",+380 (92) 387-34-17,liliia91@example.org
Величко,Феофан,Іванович,Чоловіча,1997-10-17,Музикант,Сорокине,"шосе Карантинна, буд. 107 кв. 458, Гайворон, 65351",+380 65 278-61-76,vashchukdmytro@example.org
Пʼятаченко,Микита,Миколайович,Чоловіча,2011-09-05,Біолог,Кілія,"сквер Лінія 53-тя, буд. 399, Гайсин, 46265",+380 (63) 575-58-61,bzatula@example.com
Ажажа,Дан,Олегович,Чоловіча,1980-12-11,Няня,Іллінці,"шосе Манежний, буд. 37 кв. 8, Кодима, 09385",003 994-99-62,hoholamvrosii@example.org
Павличенко,Людмила,Климентівна,Жіноча,1985-08-31,Фармацевт,Павлоград,"шосе Степна, буд. 9, Молочанськ, 94074",070 576 76 97,rebrykeduard@example.com
Затовканюк,Ігнат,Максимович,Чоловіча,2019-06-14,Журналіст,Ковель,"узвіз Космонавта Комарова, буд. 0, Маріуполь, 24880",+380 69 835-57-68,vitaliisirko@example.com
Дахно,Аркадій,Кирилович,Чоловіча,1992-02-09,Етнограф,Херсон,"площа Світлий, буд. 477 кв. 768, Оріхів, 71291",122-62-79,bohdanna04@example.net
Кабаненко,Олесь,Антонович,Чоловіча,2003-03-08,Єгер,Баранівка,"набережна Рельєфна, буд. 422, Дубляни, 40358",+380 (87) 017-07-39,zaichenkohryhorii@example.org
Макаренко,Борис,Антонович,Чоловіча,2011-07-20,Сантехнік,Донецьк,"набережна Пересипська 8-ма, буд. 738 кв. 0, Чистякове, 66012",096 512 35 09,skopenkolukian@example.com
Кармалюк,Альберт,Володимирович,Чоловіча,2003-10-17,Графік,Прилуки,"набережна 3-тя Суворовська, буд. 72 кв. 35, Зимогір'я, 72151",386 28 10,prokhirhres@example.org
Мазур,Остап,Семенович,Чоловіча,2014-06-22,Пілот,Арциз,"парк Чорноморський 6-й, буд. 91 кв. 3, Тальне, 41510",+380 27 452-07-83,tsybulenkoiustym@example.com
Черненко,Леон,Олегович,Чоловіча,1978-02-27,Бізнесмен,Ічня,"площа Дорбуду, буд. 72, Новоукраїнка, 49441",803-39-11,samoilenkomariana@example.com
Яценко,Богодар,Хомович,Чоловіча,1983-07-10,Геофізик,Голубівка,"парк Куниці, буд. 183, Заводське, 32492",691 24 30,isaienkoadam@example.org
Дзиндра,Володимир,Мартинович,Чоловіча,2009-11-01,Драматург,Феодосія,"парк Володимира Хавкіна, буд. 0 кв. 722, Єнакієве, 77530",+380 (78) 992-81-28,iarynamalyk@example.net
Литвиненко,Ілля,Венедиктович,Чоловіча,2016-10-24,Правник,Біляївка,"шосе Подільська, буд. 023 кв. 218, Золоте, 77434",+380 54 633 09 27,danylohavryshkevych@example.org
Дубас,Болеслав,Владиславович,Чоловіча,1974-08-19,Сценарист,Кам'янське,"вулиця Красний, буд. 80 кв. 4, Помічна, 89135",013 560 09 60,abramenkoborys@example.net
Супруненко,Ірена,Опанасівна,Жіноча,2015-04-04,Локсмайстер,Соледар,"проспект Лавкова, буд. 6 кв. 978, Хмільник, 61012",+380 63 211-43-09,tymofiiokhrimenko@example.org
Христич,Світлана,Данилівна,Жіноча,1989-02-04,Музичний редактор,Тернопіль,"шосе Хаджибейський 2-й, буд. 54 кв. 85, Кременець, 86824",+380 60 432-93-92,olhaandrusenko@example.net
Ляшко,Василина,Трохимівна,Жіноча,2006-06-01,Флорист,Коростишів,"набережна 8-ма Суворовська, буд. 782 кв. 2, Покровськ, 29115",862 59 01,maksym65@example.com
Лисенко,Аарон,Орестович,Чоловіча,2004-12-25,Маркетолог,Миронівка,"вулиця Іванова 2-й, буд. 986 кв. 550, Погребище, 61156",+380 66 305 53 97,smasliak@example.org
Дурдинець,Оксенія,Орестівна,Жіноча,2023-12-13,Епідеміолог,Дрогобич,"вулиця Лазурний 2-й, буд. 445, Липовець, 89351",584 13 52,ostap99@example.com
Гавришкевич,Назар,Аркадійович,Чоловіча,2002-10-27,Стоматолог,Чугуїв,"шосе Аполона Скальковського, буд. 85, Устилуг, 37329",393-10-90,havryshkevychzorian@example.org
Гавришкевич,Аркадій,Данилович,Чоловіча,1978-02-08,Круп'є,Борзна,"узвіз Висоцького, буд. 356, Ківерці, 80272",495 85 74,omelian40@example.net
Жайворон,Ірена,Давидівна,Жіноча,1982-06-20,Дерун,Болград,"набережна Овідіопольська дорога, буд. 693, Золоте, 08149",+380 94 199-01-28,shukhevychmariia@example.net
Батуринець,Анастасія,Костянтинівна,Жіноча,2002-05-02,Програміст,Бахмут,"шосе Промислова, буд. 2 кв. 586, Скадовськ, 73288",077 263 19 38,zynoviipavlychenko@example.net
Килимник,Левко,Гордійович,Чоловіча,2001-02-16,Актор,Київ,"узвіз Складська, буд. 497 кв. 3, Іллінці, 96955",+380 87 534 47 72,shvedchenkoliliia@example.org
Затула,Орина,Юстимівна,Жіноча,1981-05-15,Електромонтер,Кам'янка (Черкаська область),"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Одеса, 73236",+380 (70) 031-78-58,myron98@example.com
Піддубний,Геннадій,Яремович,Чоловіча,1988-12-25,Менеджер,Київ,"площа Дмитрія Донського, буд. 92, Балаклія, 82034",918-71-29,qumanets@example.com
Верес,Богдан,Олександрович,Чоловіча,2007-02-24,Гірник,Белз,"площа Моторна, буд. 22, Дружба , 87790",+380 23 354-15-18,leonkylymnyk@example.org
Чалий,Едуард,Глібович,Чоловіча,1997-03-30,Піаніст,Глухів,"вулиця Середня, буд. 41 кв. 9, Ізяслав, 30644",550-71-60,bohdanhaidenko@example.net
Батуринець,Альбіна,Тимофіївна,Жіноча,1990-08-03,Кіноактор,Долинська,"шосе Пісочний, буд. 206 кв. 53, Обухів, 66140",032 272 37 46,ielyseiiashchenko@example.net
Ярош,Емілія,Едуардівна,Жіноча,2005-02-12,Краєзнавець,Мар'їнка,"узвіз Шкіперська, буд. 9, Зугрес, 28793",068 677 16 40,bkolesnychenko@example.org
Удовенко,Устим,Русланович,Чоловіча,2006-09-22,Краєзнавець,Тячів,"проспект Академіка Гаркавого, буд. 9, Шахтарськ, 54473",+380 12 296-50-27,izhakomelian@example.net
Чабан,Семен,Едуардович,Чоловіча,2002-12-27,Астрофізик,Радомишль,"вулиця Хімічна, буд. 904 кв. 929, Нова Каховка, 70717",+380 10 990-99-14,arkhymovychmaryna@example.net
Цибуленко,Соломія,Лукʼянівна,Жіноча,2023-03-21,Конструктор,Миколаївка ,"площа Друга, буд. 2 кв. 362, Єнакієве, 27942",593 28 24,oles18@example.com
Влох,Віталій,Пилипович,Чоловіча,2018-06-12,Кінолог,Світловодськ,"парк Левітана, буд. 193, Новоазовськ, 74805",857 24 80,vladyslav65@example.com
Таран,Оксенія,Васильівна,Жіноча,2015-06-26,Дерун,Кременець,"провулок Шовкуненка, буд. 5 кв. 74, Федорівка, 32030",079-53-46,caleksiichuk@example.net
Микитюк,Володимир,Устимович,Чоловіча,1992-06-17,Кіноактор,Скалат,"набережна Платанова, буд. 948, Залізне, 54622",008 635 60 79,zinchenkoboleslav@example.net
Швачка,Анжела,Сергіївна,Жіноча,1996-05-30,Соціолог,Білопілля,"набережна Ф. Пішеніна, буд. 0, Карлівка, 68393",954 18 73,kyrylo22@example.net
Семенченко,Августин,Леонтійович,Чоловіча,2006-01-09,Кіноактор,Білгород-Дністровський,"парк Нікітіна, буд. 5, Олександрія, 62675",031 020 72 97,nbandurka@example.org
Парасюк,Володимир,Ігнатович,Чоловіча,2014-05-13,Професор,Мирноград,"узвіз 6-та Лінія Марії Демченко, буд. 6 кв. 70, Бобринець, 26821",058 620 53 55,wstus@example.com
Семенченко,Лукʼян,Олесьович,Чоловіча,1991-10-22,Пекар,Новгород-Сіверський,"проспект Східчастий 3-й, буд. 0, Бершадь, 30724",+380 68 536-90-24,myroslavvovk@example.net
Канівець,Роксолана,Антонівна,Жіноча,1986-02-23,Художник,Дружківка,"вулиця Ростовська, буд. 43 кв. 29, Хотин, 07462",206-43-33,ahavrylets@example.org
Міщенко,Аарон,Болеславович,Чоловіча,1976-08-29,Піаніст,Волноваха,"провулок Волзький, буд. 2 кв. 6, Тернопіль, 02479",+380 (47) 277-62-03,onufriienkodanna@example.com
Бабʼюк,Юстина,Олександрівна,Жіноча,1972-03-03,Науковець,Новоград-Волинський,"провулок Дубова, буд. 79, Новий Розділ, 32519",+380 70 959-22-06,andreikolukian@example.net
Левченко,Орися,Ярославівна,Жіноча,1981-07-25,Астронавт,Біляївка,"провулок Дубовий гай, буд. 2, Скалат, 35531",059 619-46-77,stepanshutko@example.net
Шелест,Тетяна,Станіславівна,Жіноча,1996-06-29,Швачка,Южне,"вулиця Сурикова 2-й, буд. 380 кв. 6, Голубівка, 07473",+380 31 917-32-30,zharkohlib@example.com
Перебийніс,Олег,Богуславович,Чоловіча,1992-05-09,Провізор,Мена ,"узвіз Пантелеймонівська, буд. 057, Судова Вишня, 79185",+380 (79) 800-83-51,alevtynfurs@example.com
Удовиченко,Едуард,Петрович,Чоловіча,2007-05-21,Гірник,Червоноград,"площа Десята, буд. 93 кв. 3, Підгородне, 01249",+380 46 053 05 74,okhrimchernenko@example.com
Сич,Володимира,Едуардівна,Жіноча,1992-02-16,Професор,Севастополь,"парк Аеропортівський 2-й, буд. 353, Сквира, 38646",332-79-65,eorobets@example.net
Скорик,Оксана,Спасівна,Жіноча,1982-05-11,Астрофізик,Дебальцеве,"парк Донцова Дмитра, буд. 7, Сіверськ, 17305",261-18-98,pavlo34@example.com
Кащенко,Софія,Альбертівна,Жіноча,1992-06-13,Пілот,Лебедин,"шосе Грецький, буд. 2 кв. 156, Кролевець, 03327",010 232 18 17,apushkar@example.org
Приходько,Августин,Ігнатович,Чоловіча,2020-09-27,Гірник,Любомль,"парк Сінна, буд. 3, Євпаторія, 69532",331-41-80,lytvynenkovasylyna@example.org
Микитюк,Семен,Климентович,Чоловіча,1978-10-03,Юрист,Кам'янець-Подільський,"набережна Сабанєєв, буд. 82 кв. 0, Географія Вільнянська, 98798",+380 76 170-71-07,rakdemian@example.org
Уманець,Тереза,Спасівна,Жіноча,2021-06-25,Дантист,Чуднів,"вулиця Лінія 23-тя, буд. 9 кв. 1, Бобринець, 09512",+380 41 368-77-65,deinekaiosyp@example.org
Шелест,Альберт,Ростиславович,Чоловіча,2010-06-21,Актор,Комарно,"сквер Колективний, буд. 7 кв. 90, Мар'їнка, 73820",488-48-08,erika77@example.org
Закусило,Веніямин,Петрович,Чоловіча,1995-09-09,Доцент,Бахчисарай,"вулиця Академіка Воробйова, буд. 6 кв. 348, Березань , 39862",002 550 25 91,iashchenkobohdanna@example.org
Верменич,Яків,Йосипович,Чоловіча,2011-08-10,Перекладач,Приморськ (Україна),"шосе Лінія 33-тя, буд. 298 кв. 050, Вишгород, 80221",+380 (29) 514-12-85,ivanchenko@example.org
Запорожець,Ілля,Тарасович,Чоловіча,2001-11-09,Географ,Берестечко,"узвіз Амурський 2-й, буд. 83, Червоноград, 75972",059 236-83-08,illia76@example.net
Токар,Володимира,Іванівна,Жіноча,1990-09-29,Сантехнік,Новоазовськ,"провулок Мічуріна, буд. 746 кв. 157, Зугрес, 51464",612 61 60,fareniukmakar@example.net
